tic,datadate,conm,gvkey,iid,cusip,exchg,curcdd,prcod,prchd,prcld,prccd,cshtrd,cshoc,ajexdi,trfd,trfd_imputed,adj_close,total_ret_idx,ret_price,ret_total
XLRE,2026-05-26,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.77000000,44.90500000,44.55010000,44.71000000,4320151.00000000,179500000,1.00000000,1.43591419,0,44.71000000,64.19972343,0.00336625,0.00336625
XLRE,2026-05-27,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.74000000,44.98500000,44.60000000,44.63000000,3436075.00000000,180350000,1.00000000,1.43591419,0,44.63000000,64.08485030,-0.00178931,-0.00178931
XLRE,2026-05-28,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.53000000,44.75500000,44.30500000,44.41000000,3274002.00000000,180350000,1.00000000,1.43591419,0,44.41000000,63.76894918,-0.00492942,-0.00492942
XLRE,2026-05-29,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.31000000,44.35000000,43.82500000,43.99000000,6642270.00000000,180700000,1.00000000,1.43591419,0,43.99000000,63.16586522,-0.00945733,-0.00945733
XLRE,2026-06-01,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.72000000,43.81500000,43.27000000,43.27000000,6478227.00000000,180650000,1.00000000,1.43591419,0,43.27000000,62.13200700,-0.01636736,-0.01636736
XLRE,2026-06-02,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.30000000,43.51000000,43.07500000,43.49000000,6159440.00000000,180350000,1.00000000,1.43591419,0,43.49000000,62.44790812,0.00508435,0.00508435
XLRE,2026-06-03,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.38000000,43.96500000,43.32000000,43.51000000,5665355.00000000,179200000,1.00000000,1.43591419,0,43.51000000,62.47662641,0.00045988,0.00045988
XLRE,2026-06-04,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.16000000,44.43000000,43.78500000,44.40000000,5184699.00000000,178600000,1.00000000,1.43591419,0,44.40000000,63.75459004,0.02045507,0.02045507
XLRE,2026-06-05,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.33000000,45.05000000,44.21000000,44.70000000,5324340.00000000,177950000,1.00000000,1.43591419,0,44.70000000,64.18536429,0.00675676,0.00675676
XLRE,2026-06-08,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.69000000,44.83000000,43.94500000,44.03000000,4973700.00000000,177000000,1.00000000,1.43591419,0,44.03000000,63.22330179,-0.01498881,-0.01498881
XLRE,2026-06-09,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.28000000,45.19000000,44.19000000,44.97000000,5555957.00000000,177800000,1.00000000,1.43591419,0,44.97000000,64.57306112,0.02134908,0.02134908
XLRE,2026-06-10,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.11000000,45.27000000,44.99000000,44.99000000,4556364.00000000,178050000,1.00000000,1.43591419,0,44.99000000,64.60177941,0.00044474,0.00044474
XLRE,2026-06-11,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.06000000,45.24000000,44.72500000,44.92000000,5513110.00000000,178950000,1.00000000,1.43591419,0,44.92000000,64.50126541,-0.00155590,-0.00155590
XLRE,2026-06-12,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.04000000,45.52000000,45.02000000,45.36000000,4002489.00000000,180200000,1.00000000,1.43591419,0,45.36000000,65.13306766,0.00979519,0.00979519
XLRE,2026-06-15,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.31500000,45.65000000,44.87000000,44.99000000,5283197.00000000,180200000,1.00000000,1.43591419,0,44.99000000,64.60177941,-0.00815697,-0.00815697
XLRE,2026-06-16,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.21000000,45.46000000,44.96000000,45.10000000,4003856.00000000,180150000,1.00000000,1.43591419,0,45.10000000,64.75972997,0.00244499,0.00244499
XLRE,2026-06-17,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.96000000,45.05500000,43.84500000,43.97000000,11406170.00000000,180450000,1.00000000,1.43591419,0,43.97000000,63.13714693,-0.02505543,-0.02505543
XLRE,2026-06-18,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.38000000,44.38000000,43.83000000,43.86000000,5730604.00000000,180450000,1.00000000,1.43591419,0,43.86000000,62.97919637,-0.00250171,-0.00250171
XLRE,2026-06-22,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.67000000,44.22500000,43.48000000,44.02000000,4444103.00000000,182200000,1.00000000,1.44834551,0,44.02000000,63.75616935,0.00364797,0.01233698
XLRE,2026-06-23,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.13000000,44.71730000,44.09000000,44.64000000,4094439.00000000,182350000,1.00000000,1.44834551,0,44.64000000,64.65414357,0.01408451,0.01408451
XLRE,2026-06-24,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.78000000,44.88000000,44.28500000,44.51000000,5116268.00000000,181150000,1.00000000,1.44834551,0,44.51000000,64.46585865,-0.00291219,-0.00291219
XLRE,2026-06-25,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.70000000,44.77500000,44.12000000,44.59000000,5642814.00000000,181750000,1.00000000,1.44834551,0,44.59000000,64.58172629,0.00179735,0.00179735
XLRE,2026-06-26,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.89000000,45.29000000,44.78000000,45.24000000,5421485.00000000,182350000,1.00000000,1.44834551,0,45.24000000,65.52315087,0.01457726,0.01457726
XLRE,2026-06-29,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.14000000,45.19500000,44.54990000,44.92000000,5151063.00000000,183600000,1.00000000,1.44834551,0,44.92000000,65.05968031,-0.00707339,-0.00707339
XLRE,2026-06-30,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.37500000,44.52000000,43.98500000,44.03000000,9112542.00000000,184050000,1.00000000,1.44834551,0,44.03000000,63.77065281,-0.01981300,-0.01981300
XLRE,2026-07-01,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.04000000,44.54000000,44.01500000,44.18000000,7939136.00000000,185500000,1.00000000,1.44834551,0,44.18000000,63.98790463,0.00340677,0.00340677
XLRE,2026-07-02,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.37000000,44.69000000,44.30000000,44.68000000,5442945.00000000,186000000,1.00000000,1.44834551,0,44.68000000,64.71207739,0.01131734,0.01131734
XLRE,2026-07-06,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.73000000,44.78000000,44.10000000,44.29000000,7036424.00000000,186750000,1.00000000,1.44834551,0,44.29000000,64.14722264,-0.00872874,-0.00872874
XLRE,2026-07-07,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.52500000,45.12500000,44.48000000,44.89000000,4763308.00000000,187850000,1.00000000,1.44834551,0,44.89000000,65.01622994,0.01354708,0.01354708
XLRE,2026-07-08,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.85000000,44.85000000,44.11500000,44.15000000,3920097.00000000,187450000,1.00000000,1.44834551,0,44.15000000,63.94445427,-0.01648474,-0.01648474
XLRE,2026-07-09,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.20000000,44.47000000,44.08000000,44.23000000,2929326.00000000,188400000,1.00000000,1.44834551,0,44.23000000,64.06032191,0.00181200,0.00181200
XLRE,2026-07-10,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.48000000,44.56000000,44.05000000,44.45000000,3569960.00000000,189050000,1.00000000,1.44834551,0,44.45000000,64.37895792,0.00497400,0.00497400
XLRE,2026-07-13,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.61000000,44.95500000,44.50000000,44.70000000,4213825.00000000,189050000,1.00000000,1.44834551,0,44.70000000,64.74104430,0.00562430,0.00562430
XLRE,2026-07-14,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.75000000,44.79500000,44.38500000,44.48000000,3944349.00000000,189050000,1.00000000,1.44834551,0,44.48000000,64.42240828,-0.00492170,-0.00492170
XLRE,2026-07-15,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.61000000,45.04000000,44.40000000,44.56000000,4562426.00000000,189150000,1.00000000,1.44834551,0,44.56000000,64.53827593,0.00179856,0.00179856
XLRE,2026-07-16,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.71000000,45.51500000,44.67000000,45.46000000,4224880.00000000,189150000,1.00000000,1.44834551,0,45.46000000,65.84178688,0.02019749,0.02019749
XLRE,2026-07-17,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.68000000,45.95500000,45.22500000,45.42000000,3903290.00000000,189750000,1.00000000,1.44834551,0,45.42000000,65.78385306,-0.00087989,-0.00087989
XLRE,2026-07-20,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.33500000,45.51000000,45.06000000,45.23000000,3255301.00000000,190000000,1.00000000,1.44834551,0,45.23000000,65.50866742,-0.00418318,-0.00418318
XLRE,2026-07-21,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.28000000,45.36500000,45.03500000,45.20000000,3136944.00000000,189900000,1.00000000,1.44834551,0,45.20000000,65.46521705,-0.00066328,-0.00066328
XLRE,2026-07-22,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.30000000,45.37000000,44.92000000,45.01000000,4064102.00000000,189900000,1.00000000,1.44834551,0,45.01000000,65.19003141,-0.00420354,-0.00420354
XLRE,2026-07-23,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.83000000,45.27000000,44.82000000,44.95000000,4745080.00000000,189800000,1.00000000,1.44834551,0,44.95000000,65.10313067,-0.00133304,-0.00133304
XLRE,2026-07-24,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.34500000,46.13000000,45.30000000,45.95000000,4737115.00000000,190650000,1.00000000,1.44834551,0,45.95000000,66.55147618,0.02224694,0.02224694
XLRE,2026-07-27,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.85500000,46.05500000,45.65000000,45.76000000,4214053.00000000,190700000,1.00000000,1.44834551,0,45.76000000,66.27629054,-0.00413493,-0.00413493
XLRE,2026-07-28,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,46.17000000,46.45500000,45.99000000,46.01000000,5833384.00000000,190950000,1.00000000,1.44834551,0,46.01000000,66.63837692,0.00546329,0.00546329
XLRE,2026-07-29,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,46.04500000,46.21500000,45.67500000,45.96000000,6030663.00000000,192150000,1.00000000,1.44834551,0,45.96000000,66.56595964,-0.00108672,-0.00108672
XLRE,2026-07-30,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.94000000,46.04000000,44.93000000,45.30000000,6483332.00000000,191050000,1.00000000,1.44834551,0,45.30000000,65.61005160,-0.01436031,-0.01436031
XLRE,2026-07-31,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.28000000,45.34000000,44.79000000,45.07000000,6543066.00000000,190150000,1.00000000,1.44834551,0,45.07000000,65.27693214,-0.00507726,-0.00507726
XLRE,2026-08-03,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.08000000,45.39000000,44.87000000,45.18000000,7515016.00000000,191050000,1.00000000,1.44834551,0,45.18000000,65.43625014,0.00244065,0.00244065
XLRE,2026-08-04,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.65000000,45.23500000,44.43000000,45.17000000,6247287.00000000,192000000,1.00000000,1.44834551,0,45.17000000,65.42176669,-0.00022134,-0.00022134
XLRE,2026-08-05,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.28000000,45.32000000,44.69500000,45.20000000,6007445.00000000,192350000,1.00000000,1.44834551,0,45.20000000,65.46521705,0.00066416,0.00066416
XLRE,2026-08-06,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.53500000,45.54000000,44.66000000,44.81000000,4953002.00000000,192350000,1.00000000,1.44834551,0,44.81000000,64.90036230,-0.00862832,-0.00862832
XLRE,2026-08-07,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.83000000,45.25500000,44.71000000,44.98000000,3837831.00000000,192150000,1.00000000,1.44834551,0,44.98000000,65.14658104,0.00379380,0.00379380
XLRE,2026-08-10,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.70500000,44.75000000,44.24000000,44.40000000,5293779.00000000,192150000,1.00000000,1.44834551,0,44.40000000,64.30654064,-0.01289462,-0.01289462
XLRE,2026-08-11,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.26000000,44.40000000,44.01000000,44.08000000,5552023.00000000,191950000,1.00000000,1.44834551,0,44.08000000,63.84307008,-0.00720721,-0.00720721
XLRE,2026-08-12,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.20000000,44.53500000,44.10000000,44.49000000,4723459.00000000,192150000,1.00000000,1.44834551,0,44.49000000,64.43689174,0.00930127,0.00930127
XLRE,2026-08-13,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.74000000,45.20000000,44.69000000,45.12000000,5758334.00000000,191750000,1.00000000,1.44834551,0,45.12000000,65.34934941,0.01416049,0.01416049
XLRE,2026-08-14,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,45.11800000,45.32000000,45.04010000,45.27000000,4545808.00000000,191350000,1.00000000,1.44834551,0,45.27000000,65.56660124,0.00332447,0.00332447
